cell type	official gene symbol	nicknames
Acinar cells	CTRB1	CTRB
Acinar cells	KLK1	Klk6
Acinar cells	RBPJL	RBP-L|SUHL|RBPSUHL
Acinar cells	PTF1A	PTF1-p48|bHLHa29
Acinar cells	TRY4	NA
Acinar cells	CELA3A	ELA3|ELA3A
Acinar cells	PRSS1	TRY1
Acinar cells	AMY2A2	NA
Acinar cells	SPINK1	Spink3|PCTT|PSTI|TATI
Acinar cells	ZG16	hZG16|JCLN1|ZG16A|JCLN
Acinar cells	CEL	BSSL|MODY8
Acinar cells	CELA2A	ELA2A
Acinar cells	AMY2A3	NA
Acinar cells	CPB1	NA
Acinar cells	CELA1	ELA1
Acinar cells	AMY2A5	NA
Acinar cells	RNASE1	RAC1|RNS1
Acinar cells	AMY2B	NA
Acinar cells	CPA2	NA
Acinar cells	CPA1	CPA
Acinar cells	CELA3B	CBPP|ELA3B
Acinar cells	PNLIP	NA
Acinar cells	CTRB2	NA
Acinar cells	PLA2G1B	PLA2|PPLA2|PLA2A
Acinar cells	PRSS2	TRY2
Acinar cells	CLPS	NA
Acinar cells	REG1A	PSPS|PSPS1|REG
Acinar cells	SYCN	SYL|FLJ27441|INSSA1
Acinar cells	PNLIPRP1	PLRP1
Acinar cells	CTRC	CLCR|ELA4
Acinar cells	REG3A	REG-III|REG3|PBCGF
Acinar cells	SERPINA3	AACT
Acinar cells	PRSS3	TRY4|PRSS4
Acinar cells	REG1B	PSPS2|REGH|REGI-BETA
Acinar cells	CFB	H2-Bf|BFD|BF
Acinar cells	GDF15	PLAB|MIC-1|PDF|NAG-1|PTGFB
Acinar cells	MUC1	CD227|PEM|ADMCKD|ADMCKD1|MCKD|MCKD1
Acinar cells	C15ORF48	NMES1|MIR147BHG
Acinar cells	DUOXA2	NA
Acinar cells	AKR1C3	KIAA0119|DDX|HAKRB|PGFS|HSD17B5
Acinar cells	OLFM4	OlfD|GW112
Acinar cells	GSTA1	NA
Acinar cells	LGALS2	HL14
Acinar cells	PDZK1IP1	DD96|MAP17|SPAP
Acinar cells	RARRES2	TIG2|HP10433
Acinar cells	CXCL17	Dcip1|UNQ473|VCC1
Acinar cells	UBD	FAT10
Acinar cells	GSTA2	GST2
Acinar cells	ANPEP	gp150|CD13|PEPN
Acinar cells	LYZ	NA
Acinar cells	ANGPTL4	pp1158|PGAR|ARP4|HFARP|FIAF
Acinar cells	ALDOB	NA
Adipocyte progenitor cells	CEBPA	C/EBP-alpha|CEBP
Adipocyte progenitor cells	EGFR	ERBB1|ERBB
Adipocyte progenitor cells	FGF10	NA
Adipocyte progenitor cells	GSC	NA
Adipocyte progenitor cells	MMP3	STMY1|STMY
Adipocyte progenitor cells	PPARG	PPARG1|PPARG2|NR1C3|PPARgamma
Adipocyte progenitor cells	TWIST2	DERMO1|Dermo-1|bHLHa39
Adipocyte progenitor cells	GATA3	HDR
Adipocyte progenitor cells	GLI1	GLI
Adipocyte progenitor cells	SMO	FZD11|SMOH
Adipocyte progenitor cells	STAB1	KIAA0246|STAB-1|FEEL-1|CLEVER-1|FELE-1|FEX1|SCARH2
Adipocyte progenitor cells	WISP2	CTGF-L|CCN5
Adipocyte progenitor cells	WT1	WIT-2|AWT1|NPHS4|GUD
Adipocyte progenitor cells	SCARA5	FLJ23907|MGC45780|NET33
Adipocyte progenitor cells	HOXC8	HOX3A
Adipocyte progenitor cells	TCF7L1	TCF3
Adipocyte progenitor cells	HOXC9	HOX3B
Adipocyte progenitor cells	HOXC6	HOX3C
Adipocyte progenitor cells	HOXC4	HOX3E
Adipocyte progenitor cells	ZNF521	EHZF|Evi3
Adipocyte progenitor cells	SULT1E1	STE
Adipocyte progenitor cells	EBF2	FLJ11500|COE2
Adipocyte progenitor cells	NRG4	NA
Adipocytes	SLC36A2	PAT2|tramdorin|TRAMD1
Adipocytes	P2RX5	P2X5
Adipocytes	LEP	OBS
Adipocytes	UCP1	SLC25A7|UCP
Adipocytes	CIDEA	CIDE-A
Adipocytes	PRDM16	MEL1|PFM13|KIAA1675|MGC166915|KMT8F
Adipocytes	LHX8	Lhx7
Adipocytes	EPSTI1	BRESI1|MGC29634
Adipocytes	MC2R	ACTHR
Adipocytes	FFAR2	FFA2R|GPR43
Adipocytes	PIKFYVE	MGC40423|KIAA0981|PIKfyve|PIP5K|p235|ZFYVE29|FAB1|PIP5K3
Adipocytes	CYP11B2	CYP11BL|P-450C18|P450aldo|ALDOS
Adipocytes	TLR2	TIL4|CD282
Adipocytes	TLR4	hToll|CD284|TLR-4|ARMD10
Adipocytes	ADRB1	ADRB1R
Adipocytes	ADRB2	ADRBR|B2AR|ADRB2R
Adipocytes	ADRB3	NA
Adipocytes	FABP4	A-FABP|aP2
Adipocytes	TNFRSF9	CD137|4-1BB|ILA
Adipocytes	TBX1	VCF
Adipocytes	TMEM26	MGC35010|Em:AC068892.1
Adipocytes	TCF21	POD1|bHLHa23
